,Clase,Barrio,Ubicacion,Descripcion,Precio,Links,fecha_consulta,tipo_prop,operacion,Barrio_vf,localidad,Moneda,precio_efectivo,Precio_vf,Expensas,tdc,precio_en_pesos,ambientes,coords,filtro_coords,Ubicacion_norm,latitud,longitud
0,"Departamento en Venta en Caballito Norte, Caballito","Caballito Norte, Caballito",Beláustegui 1100,Monoambiente con Patio en Venta,USD  45.000+$10.000expensas,https://www.argenprop.com/departamento-en-venta-en-caballito-norte-1-ambiente--15405725,2024_03_01,Departamento,Venta,Caballito Norte, Caballito,Dólares,precio,45000,10000,1070,48150000,Monoambiente,"(-34.6054508169467, -58.4562145060714)",False,Beláustegui 1100,-34.6054508169467,-58.4562145060714
1,"Departamento en Venta en Recoleta, Barrio Norte","Recoleta, Barrio Norte",Anchorena  al 1800,Monoambiente en Venta en Recoleta,USD  72.000+$33.000expensas,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--15266775,2024_03_01,Departamento,Venta,Recoleta, Barrio Norte,Dólares,precio,72000,33000,1070,77040000,Monoambiente,"(-34.5898801144043, -58.400885131227)",False,Anchorena 1800,-34.5898801144043,-58.400885131227
2,"Departamento en Venta en Almagro, Capital Federal","Almagro, Capital Federal",AVENIDA CORRIENTES 3800,Departamento Monoambiente en Venta en Almagro con Amenities,USD  99.999,https://www.argenprop.com/departamento-en-venta-en-almagro-1-ambiente--12078572,2024_03_01,Departamento,Venta,Almagro, Capital Federal,Dólares,precio,99999,0,1070,106998930,Monoambiente,"(-34.6034690099089, -58.4180317838483)",False,CORRIENTES 3800,-34.6034690099089,-58.4180317838483
3,"Departamento en Venta en Recoleta, Barrio Norte","Recoleta, Barrio Norte",Paraguay  al 2400,Departamento Monoambiente con Balcon a Estrenar en Recoleta,USD  95.000,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--13383464,2024_03_01,Departamento,Venta,Recoleta, Barrio Norte,Dólares,precio,95000,0,1070,101650000,Monoambiente,"(-34.5977677715484, -58.4020883028832)",False,Paraguay 2400,-34.5977677715484,-58.4020883028832
4,"Departamento en Venta en Almagro Sur, Almagro","Almagro Sur, Almagro",Boedo al 200,Monoambiente Gran Categoría C/ Excelentes Amenities (Entrega 2024),USD  48.400,https://www.argenprop.com/departamento-en-venta-en-almagro-sur-1-ambiente--15356934,2024_03_01,Departamento,Venta,Almagro Sur, Almagro,Dólares,precio,48400,0,1070,51788000,Monoambiente,"(-34.6138733772524, -58.4172438974766)",False,Boedo 200,-34.6138733772524,-58.4172438974766
5,"Departamento en Venta en Palermo, Capital Federal","Palermo, Capital Federal",BULNES al 1200,Monoambiente con Balcón Pre Venta en Pozo en Palermo,USD  105.469,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--12406952,2024_03_01,Departamento,Venta,Palermo, Capital Federal,Dólares,precio,105469,0,1070,112851830,Monoambiente,"(-34.5978257052851, -58.4172630316078)",False,BULNES 1200,-34.5978257052851,-58.4172630316078
6,"Departamento en Venta en Villa Crespo, Capital Federal","Villa Crespo, Capital Federal",AVENIDA CORRIENTES al 4500,Departamento Monoambiente en Venta a Estrenar en Almagro con Amenities Full Oportunidad,USD  89.999,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-1-ambiente--12492282,2024_03_01,Departamento,Venta,Villa Crespo, Capital Federal,Dólares,precio,89999,0,1070,96298930,Monoambiente,"(-34.6024196998066, -58.4285714370977)",False,CORRIENTES 4500,-34.6024196998066,-58.4285714370977
7,"Departamento en Venta en Villa Crespo, Capital Federal","Villa Crespo, Capital Federal",AVENIDA CORRIENTES al 4500,Departamento Monoambiente en Venta a Estrenar en Almagro con Amenities Full Oportunidad,USD  94.999,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-1-ambiente--12492272,2024_03_01,Departamento,Venta,Villa Crespo, Capital Federal,Dólares,precio,94999,0,1070,101648930,Monoambiente,"(-34.6024196998066, -58.4285714370977)",False,CORRIENTES 4500,-34.6024196998066,-58.4285714370977
8,"Departamento en Venta en San Nicolás, Centro","San Nicolás, Centro",Tucumán 300,Departamento Monoambiente Venta C/ Cochera en San Nicolás,USD  49.000,https://www.argenprop.com/departamento-en-venta-en-san-nicolas-1-ambiente--15357339,2024_03_01,Departamento,Venta,San Nicolás, Centro,Dólares,precio,49000,0,1070,52430000,Monoambiente,"(-34.6007407214588, -58.3712690749523)",False,Tucumán 300,-34.6007407214588,-58.3712690749523
9,"Departamento en Venta en Tribunales, Centro","Tribunales, Centro",Viamonte al 1400,Monoambiente Dividido en Venta Apto Airbnb Zona Teatros,USD  59.900+$28.000expensas,https://www.argenprop.com/departamento-en-venta-en-tribunales-1-ambiente--14131509,2024_03_01,Departamento,Venta,Tribunales, Centro,Dólares,precio,59900,28000,1070,64093000,Monoambiente,"(-34.6005804602409, -58.386704795491)",False,Viamonte 1400,-34.6005804602409,-58.386704795491
10,"Departamento en Venta en Flores, Capital Federal","Flores, Capital Federal",Varela 200,Excelente Monoambiente C/ Balcon - Flores,USD  59.000+$34.130expensas,https://www.argenprop.com/departamento-en-venta-en-flores-1-ambiente--14414049,2024_03_01,Departamento,Venta,Flores, Capital Federal,Dólares,precio,59000,34130,1070,63130000,Monoambiente,"(-34.6320869331624, -58.4644436916863)",False,Varela 200,-34.6320869331624,-58.4644436916863
11,"Departamento en Venta en San Cristobal, Capital Federal","San Cristobal, Capital Federal","Av. San Juan 2900, Piso 11",1 Ambiente en San Cristóbal,USD  49.500,https://www.argenprop.com/departamento-en-venta-en-san-cristobal-1-ambiente--14430050,2024_03_01,Departamento,Venta,San Cristobal, Capital Federal,Dólares,precio,49500,0,1070,52965000,Monoambiente,"(-34.5533753812727, -58.4712588443683)",False,Juan 2900,-34.5533753812727,-58.4712588443683
12,"Departamento en Venta en Caballito, Capital Federal","Caballito, Capital Federal",VIEL al 300,Viel al 300  1 Ambiente Divisible con Balcon Departamento en Caballito Venta,USD  78.000+$45.000expensas,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--15305694,2024_03_01,Departamento,Venta,Caballito, Capital Federal,Dólares,precio,78000,45000,1070,83460000,Monoambiente,"(-34.6200463209106, -58.4329854259113)",False,VIEL 300,-34.6200463209106,-58.4329854259113
13,"Departamento en Venta en Caballito, Capital Federal","Caballito, Capital Federal","BOYACA 400, Piso 3","Monoambiente con Balcón al Contrafrente, Todo Luz.",USD  70.000+$15.000expensas,https://www.argenprop.com/departamento-en-venta-en-caballito-1-ambiente--12675067,2024_03_01,Departamento,Venta,Caballito, Capital Federal,Dólares,precio,70000,15000,1070,74900000,Monoambiente,"(-34.6224523038183, -58.4596217610232)",False,BOYACA 400,-34.6224523038183,-58.4596217610232
14,"Departamento en Venta en Cid Campeador, Caballito","Cid Campeador, Caballito",Hidalgo al 700 !,Departamento en Venta de 1 Ambiente en Caballito de 26m2,USD  72.100,https://www.argenprop.com/departamento-en-venta-en-cid-campeador-1-ambiente--11366196,2024_03_01,Departamento,Venta,Cid Campeador, Caballito,Dólares,precio,72100,0,1070,77147000,Monoambiente,"(-34.6113527587979, -58.4408454143268)",False,Hidalgo 700,-34.6113527587979,-58.4408454143268
15,"Departamento en Venta en Villa Crespo, Capital Federal","Villa Crespo, Capital Federal",Rojas 1892,Departamento en Venta de 1 Ambiente en Villa Crespo de 32m2 Entrega:2026,USD  58.600,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-1-ambiente--12691650,2024_03_01,Departamento,Venta,Villa Crespo, Capital Federal,Dólares,precio,58600,0,1070,62702000,Monoambiente,"(-34.60088851362836, -58.45302959835741)",False,Rojas 1892,-34.60088851362836,-58.45302959835741
16,"Departamento en Venta en Barrio Norte, Capital Federal","Barrio Norte, Capital Federal",Mansilla al 3000,"1 Ambiente de 34m2, Norman en Barrio Norte.",USD  83.500,https://www.argenprop.com/departamento-en-venta-en-barrio-norte-1-ambiente--12829756,2024_03_01,Departamento,Venta,Barrio Norte, Capital Federal,Dólares,precio,83500,0,1070,89345000,Monoambiente,"(-34.5945239170052, -58.4089980191714)",False,Mansilla 3000,-34.5945239170052,-58.4089980191714
17,"Departamento en Venta en Las Cañitas, Palermo","Las Cañitas, Palermo",Av Luis María Campos 659,Departamento en Venta de 1 Ambiente en las Cañitas de 27m2,USD  103.000,https://www.argenprop.com/departamento-en-venta-en-las-canitas-1-ambiente--14943943,2024_03_01,Departamento,Venta,Las Cañitas, Palermo,Dólares,precio,103000,0,1070,110210000,Monoambiente,"(-34.57059774068315, -58.43540086509804)",False,Campos 659,-34.57059774068315,-58.43540086509804
18,"Departamento en Venta en Cid Campeador, Caballito","Cid Campeador, Caballito",Hidalgo al 700,Departamento en Venta de 1 Ambiente de 26m2 en Caballito,USD  69.000,https://www.argenprop.com/departamento-en-venta-en-cid-campeador-1-ambiente--11366197,2024_03_01,Departamento,Venta,Cid Campeador, Caballito,Dólares,precio,69000,0,1070,73830000,Monoambiente,"(-34.6113527587979, -58.4408454143268)",False,Hidalgo 700,-34.6113527587979,-58.4408454143268
19,"Departamento en Venta en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",Andonaegui al 1200 y Arismendi,Moderno Monoambiente Apaisado al Frente con Balcón - 5° Piso - Vista Abierta | Super Luminoso,USD  70.000+$15.000expensas,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--12739021,2024_03_01,Departamento,Venta,Villa Urquiza, Capital Federal,Dólares,precio,70000,15000,1070,74900000,Monoambiente,"(-34.5883397438411, -58.4786090246712)",False,Andonaegui 1200,-34.5883397438411,-58.4786090246712
20,"Departamento en Venta en Barrio Norte, Capital Federal","Barrio Norte, Capital Federal","Gallo 1000, Piso 5",Monoambiente cerca de Todas las Universidades Dueño Directo,USD  70.000,https://www.argenprop.com/departamento-en-venta-en-barrio-norte-1-ambiente--7281906,2024_03_01,Departamento,Venta,Barrio Norte, Capital Federal,Dólares,precio,70000,0,1070,74900000,Monoambiente,"(-34.5980031122963, -58.4119189343463)",False,Gallo 1000,-34.5980031122963,-58.4119189343463
21,"Departamento en Venta en Flores, Capital Federal","Flores, Capital Federal",Terrero 54,Departamento al Frente de 1 Ambiente en Construcción Apto Profesional - Terrero 54,USD  56.205,https://www.argenprop.com/departamento-en-venta-en-flores-1-ambiente--14662712,2024_03_01,Departamento,Venta,Flores, Capital Federal,Dólares,precio,56205,0,1070,60139350,Monoambiente,"(-34.62558091699668, -58.45577610775929)",False,Terrero 54,-34.62558091699668,-58.45577610775929
22,"Departamento en Venta en Villa Devoto, Capital Federal","Villa Devoto, Capital Federal",Av Lope De Vega 2900,Monoambientes  a Estrenar  - Apto Blanqueo de Capitales -,USD  69.500,https://www.argenprop.com/departamento-en-venta-en-villa-devoto-1-ambiente--6742662,2024_03_01,Departamento,Venta,Villa Devoto, Capital Federal,Dólares,precio,69500,0,1070,74365000,Monoambiente,"(-34.6155085594802, -58.5231197492243)",False,Vega 2900,-34.6155085594802,-58.5231197492243
23,"Departamento en Venta en Villa Urquiza, Capital Federal","Villa Urquiza, Capital Federal",Blanco Encalada al 4880,Monoambiente al Frente - Entrega Inmediata - Villa Urquiza - a Pasos del Subte - Apto Profesional,USD  89.000,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--15360363,2024_03_01,Departamento,Venta,Villa Urquiza, Capital Federal,Dólares,precio,89000,0,1070,95230000,Monoambiente,"(-34.57448494743374, -58.484591346939766)",False,Encalada 4880,-34.57448494743374,-58.484591346939766
